owner.login_name	owner.type	open_issues_count	has_wiki	has_downloads	has_projects	archived	size	fork	owner_popularity	contributor_popularity	average_commit_char_count	num_contributors	num_pull_requests	num_releases	commits	created_time	updated_time
povilasb-com_cpp-code-coverage	0	0	1	1	1	0	100	0	0	0	15.0	2	0	0	1	20140302	20171012
povilasb-com_cpp-googletest-intro	0	0	1	1	1	0	100	0	0	0	15.0	2	0	0	1	20140302	20150601
povilasb-com_cpp-static-analysis	0	0	1	1	1	0	100	0	0	0	15.0	2	0	0	1	20140316	20150222
povilasb_boost-property-tree-sample	1	0	1	1	1	0	124	0	0	0	25.5	1	0	0	2	20140902	20140902
povilasb_cpp-fun	1	0	1	1	1	0	112	0	0	0	15.0	1	0	0	1	20140708	20170602
povilasb_pugihtml-sample	1	0	1	1	1	0	108	0	0	0	23.166666666666668	1	0	0	6	20140726	20140726
povilasb_pugixml-sample	1	0	1	1	1	0	136	0	0	0	20.5	1	0	0	6	20140709	20140709
povilasb_smart-pointers-sample	1	0	1	1	1	0	108	0	0	0	15.0	1	0	0	1	20140811	20140811
powervr-graphics_PVRCapabilities	0	0	0	1	1	0	149	0	0	30	34.333333333333336	4	0	0	27	20150416	20180920
powerwheel_code	1	0	1	1	1	0	156	0	0	0	21.25	1	0	0	4	20140723	20140723
pozitr0n_LaboratoryWorks-Visual-Studio-BSUIR	1	0	1	1	1	0	221	0	0	0	20.692307692307693	1	0	0	26	20131203	20140723
pozitr0n_testing-program-bsuir	1	0	1	1	1	0	140	0	0	0	17.1	1	0	0	10	20150923	20150923
poznyakovskiy_gitarre	1	0	1	1	1	0	332	0	0	0	41.166666666666664	1	0	0	47	20140107	20150105
ppearson_ImaginePartial	1	0	1	1	1	0	442	0	0	0	34.23076923076923	1	0	0	13	20151122	20180805
ppham27_Calculator	1	0	1	1	1	0	720	0	0	0	23.2	1	0	0	5	20141107	20141216
ppiy3670_ObjectPool	1	0	1	1	1	0	15	0	0	0	17.6	1	0	0	5	20160519	20180526
ppknap_link	1	0	1	1	1	1	668	0	0	0	45.86666666666667	1	0	0	87	20141103	20181105
ppknap_square_matrix_view	1	0	1	1	1	1	200	0	0	0	25.470588235294116	1	0	0	17	20150325	20181105
pps789_CNMSolver	1	0	1	1	1	0	25	0	0	0	14.555555555555555	1	0	0	9	20150930	20150930
pqpo_CppPrimer	1	0	1	1	1	0	14	0	0	0	9.428571428571429	1	0	0	7	20170525	20181005
prabhdeep311_SummaryTool	1	0	1	1	1	0	144	0	0	0	13.75	1	0	0	4	20150615	20150615
prabuinet_hackerrank	1	0	1	1	1	0	148	0	0	0	14.0	1	0	0	3	20141215	20141227
prabuselva_boost_practice	1	0	1	1	1	0	188	0	0	0	32.916666666666664	1	0	0	12	20130812	20140330
pradeep1288_leetcode	1	0	1	1	1	0	49	0	30	0	24.733333333333334	2	0	0	53	20160717	20160717
pradeepanchan_auto_maint_serv	1	0	1	1	1	0	116	0	0	0	23.666666666666668	1	0	0	9	20120910	20140501
pradnyaw25_SmartPointer-Cplusplus	1	0	1	1	1	0	112	0	0	0	13.5	1	0	0	2	20131216	20140213
prafiles_pkg-remove	1	0	1	1	1	0	136	0	0	0	29.166666666666668	1	0	0	6	20141221	20150112
pragmaticTNT_autolab	1	0	1	1	1	0	27	0	0	0	33.9	1	0	0	10	20160505	20160505
praharshjain_Algorithms	1	0	1	1	1	0	35	0	0	0	21.966666666666665	1	0	0	36	20170405	20170415
prakhargvp_CPP	1	0	1	1	1	0	49	0	10	0	83.03333333333333	2	0	0	50	20170304	20170601
prakruti1090_PortScan_Sql	1	0	1	1	1	0	148	0	0	0	16.75	1	0	0	8	20150803	20150803
praman2s_youbot_wrench_controller	1	0	1	1	1	0	140	0	0	0	14.0	1	0	0	2	20140915	20140915
prampec_LcdBarGraph	1	1	1	1	1	0	99	0	4	0	25.833333333333332	3	0	3	6	20150526	20180924
prampec_LcdBarGraphX	1	2	1	1	1	0	101	0	4	0	30.555555555555557	2	0	3	9	20150526	20180924
pranavcode_datasoft	1	0	1	1	1	0	148	0	0	0	19.666666666666668	1	0	0	3	20150918	20151108
pranavcode_pseudo-rand	1	0	1	1	1	0	164	0	0	0	42.75	1	0	0	8	20141121	20160906
